label;text
ham;Willkommen im Team
spam;3 böse Ernährungsfehler vermeiden
ham;Welcome to NetIO!
spam;Training gegen Schwachstellen
spam;Leckeres Fitnessrezept
spam;3 Tipps für deinen flachen Bauch
spam;5 Fehler, die dein Sixpack direkt ruinieren
spam;So verbrennst du dein Bauchfett
spam;Isle of Summer II - Save your Tickets
spam;3 Schritte zur perfekten Trainingsmethode
spam;11 Tricks, um dein Bauchfett zu überlisten
spam;Dein durchtrainiertes Sixpack verschwindet bald.
ham;Ihre Amazon.de Bestellung von 2 x Mundschutz - Single
ham;Ihre Bestellung bei Fight4Less.de
ham;Sie haben eine Zahlung gesendet
ham;Vielen Dank für Ihren Einkauf  Ihre Auftragsnummer lautet 90511
ham;Ihre Amazon.de Bestellung von 2 x Mundschutz - Single wurde versandt!
ham;Gute Nachrichten Ihre Bestellung ist unterwegs!
ham;Ihre Bestellung bei Fight4Less.de vom 13.06.2015 10:09:54 wurde versandt
ham;Siemens Industry Customer Services: Bestätigung ihrer Registrierung
ham;Möchten Sie Ihre Transaktion bei Amazon.de bewerten?
spam;Top-Angebote & Restposten aus Elektronik
spam;10 Euro Gutschein für Ihre Buchung bei airberlin oder GetYourGuide sichern
spam;Brauchen deine Muskeln meine Hilfe?
ham;Änderungen an unseren Nutzungsbedingungen und Datenschutzbestimmungen
ham;PayPal-Kontoübersicht für Juni 2015 – Ihre letzten Zahlungen
ham;Contact Electronic Indoor Festival – 04.&05. Dez. - Save your Tix
ham;Fwd: Einladung Mitgliederversammlung FS Team Becker e.V. 2.10.15
ham;Ihre Bestellung bei bio-apo.de
ham;Bestätigung Ihrer Zahlung an Pestalozzi-Apotheke
ham;Deine Bestellung im SMILODOX-SHOP
ham;Bestätigung Ihrer Zahlung an SMILODOX
ham;Lieferung aus mehreren Lagern
ham;Hier ist die Rechnung zu deiner Order-ID 28426 vom 12.09.2015 22:22:23
ham;Deine Bestellung wurde versandt!  Order-ID 28431
ham;PayPal-Kontoübersicht für August 2015
spam;iPhone 6s - Schneller als je zuvor.
ham;Haben Sie noch Fragen zu Ihrer gelieferten Bestellung vom 10.09.2015
ham;Danke für die Registrierung
ham;Sie haben eine Bestellung über 8,26 EUR an THE HUT.COM LIMITED gesendet
ham;Myprotein Bestellbestätigung
ham;Ihre Bestellung wurde versandt
spam;Letzte Chance: Kaufe eins, Zweites zum halben Preis
spam;Jetzt neu: Ihr persönlicher Link, um Geld empfangen zu können - PayPal.Me
spam;BODY IP by Simon Teichmann: Wie viele Kalorien für den Masse-Aufbau?
ham;Rückzahlung von SMILODOX
ham;Ihre Amazon.de Bestellung von Bilder
ham;Bezüglich Ihre letzte Bestellung
ham;Sie haben eine Bestellung über 39,58 EUR an THE HUT.COM LIMITED gesendet
ham;Myprotein Bestellbestätigung
ham;Ihre Bestellung wurde versandt
ham;Your order has been dispatched
ham;Bestätigung Ihrer PayPal-Zahlung an Fortis Tomasz Jakubow
ham;bilder&dekoration: Versandbestätigung: 305-6227594-3795563
ham;Ihre Amazon.de Bestellung von Bilder - 3 Farben zur wurde versandt!
ham;Deine Bestellung wurde versandt!  Order-ID 36317
ham;Hier ist die Rechnung zu deiner Order-ID 36317 vom 09.10.2015 13:33:58
spam;BODY IP by Simon Teichmann: Simons Rezept: TassenKuchen für mehr Muskeln und weitere Videos
ham;Aktiviere Deinen Fddb Account
ham;Willkommen bei Fddb
spam;Reality LED Schrank Aufbaulampe
ham;Willkommen bei Wix! Beginnen Sie Ihre Website zu erstellen.
spam;Reifen: So wichtig ist der richtige Druck
